ORDER_ID,LINEITEM_ID,OPTION_GROUP_NAME,OPTION_NAME,OPTION_PRICE,OPTION_QUANTITY
6278eb58dfafab1e053fe172,6278eb63dfafab1e053fe18c,Cheese,American Cheese,0,1
6278eb58dfafab1e053fe172,6278eb63dfafab1e053fe18c,Veggies,Lettuce,0.5,1
6278eb58dfafab1e053fe172,6278eb63dfafab1e053fe18c,Veggies,Tomatoes,0,1
6278eb58dfafab1e053fe172,6278eb63dfafab1e053fe18c,Veggies,Onion,0,1
6278eb58dfafab1e053fe172,6278eb63dfafab1e053fe18c,Veggies,Green Peppers,0,1
627b87809f91930b3a21b7fa,627b90208270026f7677bfc6,Cheese,American Cheese,0,1
627b87809f91930b3a21b7fa,627b90208270026f7677bfc6,Veggies,Tomatoes,0,1
627b87809f91930b3a21b7fa,627b90208270026f7677bfc6,Veggies,Onion,0,1
627b87809f91930b3a21b7fa,627b90208270026f7677bfc6,Veggies,Green Peppers,0,1
627b95fd971cf37b02412c4f,627b95ff971cf37b02412c56,Dressings,Caesar Dressing,0,1
6203e485fe806e43621f13c4,6203e4a2449dab682e392492,Cheese,American Cheese,0,1
626927474de39b63a757f1e0,62692749d16ca544624748a1,Dressings,Caesar Dressing,0,1
645fdb6ebf57a89e4800829d,645fdb6f0b4a203f920439be,Greek Salad Options,Add Chicken Salad,2,1
64839664f6823da0a2062865,648396658d59261179093445,Bowl Protein Option,"Add Meat, Substitute Tofu",0,1
640525aab72ef8b6b401ed83,6405261005cadfbf66021516,Milk Options,Add Whole Milk,0,1
63ed12df755c94f5e90b3d74,63ed12dff5ec71321400180e,Chop Salad Options,Add Line Caught Albacore Tuna Salad,3,1
6515a277180af6d918031df8,6515a2c70c9c54e20907d85c,Bowl Protein Option,Add Meat Sub Pork,0,1
644532e0dc84fc686b043918,644532f3dc84fc686b04392a,Ham Hot Honey Egg And Cheese Options,Add Breakfast Chicken Sausage,1,1
644532e0dc84fc686b043918,644532f3dc84fc686b04392a,Ham Hot Honey Egg And Cheese Options,Add Gluten Free Bread,1,1
644532e0dc84fc686b043918,644532f3dc84fc686b04392a,Ham Hot Honey Egg And Cheese Options,No Heritage Smoked Ham,0,1
64021167e54589e1e50c16cd,6402121b17c7831d4e06286e,Bowl Protein Option,"Add Meat, Substitute Tofu",0,1
6408bf36c6b55ecebb028027,6408bfac478e7d335b03b068,Quesadilla Options,Add Peppers And Onions,1,1
6408bf36c6b55ecebb028027,6408bfac478e7d335b03b068,Quesadilla Options,Add Grilled Chicken,2,1
65202f3443bc5f24750f48d8,65202f7a7b2a4f58bc079a24,SW Chop Salad Options,No Onion,0,1
6547729c5cb0982a1b03d956,654773a7c88995514a02ebb7,Bagel Choice,Add Everything Bagel,0,1
6547729c5cb0982a1b03d956,654773a7c88995514a02ebb7,Loaded Bagel Cream Cheese Options,Add Scallion Cream Cheese,0,1
6547729c5cb0982a1b03d956,654773a7c88995514a02ebb7,Loaded Bagel Options,No Sliced Tomato,0,1
6547729c5cb0982a1b03d956,654773a7c88995514a02ebb7,Loaded Bagel Options,No Capers,0,1
644fa086acf90bb435068ed8,644fa0eb15dea6180b08bc4e,Ham Hot Honey Egg And Cheese Options,Add Egg,1,1
64837ac2d3b94467370f0a44,64837ad2d69c3d7a9a034153,Ham Hot Honey Egg And Cheese Options,Add Breakfast Chicken Sausage,1,1
63ff8560b7fc3fc21e064b73,63ff857d62004917ea0f526d,Bacon Egg And Cheese Options,Add Egg,1,1
63ff8560b7fc3fc21e064b73,63ff857d62004917ea0f526d,Bacon Egg And Cheese Options,"No Brioche, Substitute Bagel",1,1
63ff8560b7fc3fc21e064b73,63ff857d62004917ea0f526d,Bacon Egg And Cheese Options,No Cheddar,0,1
62a865f02a4e247da40d7b78,62a8666d2eef79102e10a5dd,Dressings,Italian Dressing,0,1
641072e3887cc02ac10f1606,641073374950017ac8090622,Milk Options,Add Hemp Milk,0,1
63d90a8a10ec61bde303d561,63d90ab6853dc8f1a80d03ce,Milk Options,Add Almond Milk,0,1
64b70b888bb532e78d07099f,64b70d90d95075d0fe0dd1a4,Quesadilla Options,Add Smokehouse Bacon,2,1
65c26d720a785d76eb0ba8f4,65c26d720a785d76eb0ba8f6,SW Chop Salad Options,No Smokehouse Bacon,0,1
65c26d720a785d76eb0ba8f4,65c26d720a785d76eb0ba8f6,SW Chop Salad Options,No Onion,0,1
64aeaac2100887fa200b4f7e,64aeaac38cd6aa0e1d0266a2,Drip Coffee Options,Add Signature Blend,0,1
64aeaac2100887fa200b4f7e,64aeaac38cd6aa0e1d0266a2,Milk Options,Add Light Cream,0,1
64aeaac2100887fa200b4f7e,64aeaac38cd6aa0e1d0266a2,Syrup,Add Hazelnut,0,1
6421765637ac9381d708704f,642177357c08c2b6a107c78c,Pork Roll Options,No Spicy Ketchup,0,1
6421765637ac9381d708704f,642177357c08c2b6a107c78c,Pork Roll Options,Add Breakfast Chicken Sausage,1,1
651997c09944ecb3430d440d,651997c1efddd7efaf0a1850,Chipotle Turkey Options,Add Gluten Free Bread,1,1
651997c09944ecb3430d440d,651997c1efddd7efaf0a1850,Chipotle Turkey Options,No Cheddar,0,1
641f5700d39f2ac2240226db,641f57016e3707b33204d24e,Carnitas Torta Options,Add Gluten Free Bread,1,1
641f5700d39f2ac2240226db,641f57016e3707b33204d24e,Carnitas Torta Options,No Cheddar,0,1
63cc1dfe2c57f07a930c96fe,63cc1dff85404bd9c50e8564,Pulled Pork Options,No Southern Slaw,0,1
63e5372efe0f4984530f58a7,63e53767abf4597f6a027c47,Bagel Choice,Add Plain Bagel,0,1
63e5372efe0f4984530f58a7,63e53767abf4597f6a027c47,Toasted Bagel Options,Add Cream Cheese,0,1
641874dee7d3c0bbd00f75bf,641875914fec9ed80f0bc9d5,The Italian Options,Add Smokehouse Bacon,2,1
641874dee7d3c0bbd00f75bf,641875914fec9ed80f0bc9d5,The Italian Options,No Pickled Eggplant,0,1
65a5162e77f53c0e250a2e24,65a5162f4c0e452b7602c92f,Brisket BOMB Options,Add Smokehouse Bacon,2,1
65a5162e77f53c0e250a2e24,65a5162f4c0e452b7602c92f,Brisket BOMB Options,Add Sweet Pickles,0,1
641afff6e4f1f0e4e3015588,641afff7b5417df8d403c077,Steak And Cheese Options,Add Extra Roast Beef,0,1
64bbe27089c02995060e634a,64bbe2710a9a160f220f59ba,Bowl Protein Option,Add Meat Sub Chicken,0,1
64bbe27089c02995060e634a,64bbe2710a9a160f220f59ba,Teriyaki Rice Bowl Options,No Kimchi,0,1
64bbe27089c02995060e634a,64bbe2710a9a160f220f59ba,Teriyaki Rice Bowl Options,No Peppers,0,1
6472632e2c00f1eda90acfe6,6472632f2c00f1eda90acfec,BLAT Options,Add Aged Provolone,1,1
64397ecbf86bd8c4c6025716,64397ecb9d433a145102289e,Milk Options,Add Oat Milk,0,1
64c25d7f0c12d93f63028287,64c25d7fffc439dda206ffdb,Bacon Egg And Cheese Options,Add Heritage Smoked Ham,2,1
63d718527a5efdeb1400803a,63d7188b572688e4f50c6345,Cracked Oats Oatmeal Options,Add Local Maple Syrup,1,1
63d718527a5efdeb1400803a,63d7188b572688e4f50c6345,Cracked Oats Oatmeal Options,Add Fresh Bananas,1,1
63d718527a5efdeb1400803a,63d7188b572688e4f50c6345,Cracked Oats Oatmeal Options,Add Chopped Pecans,1,1
63d718527a5efdeb1400803a,63d7188b572688e4f50c6345,Cracked Oats Oatmeal Options,Add Dried Fruit,1,1
63c30a17522f79aa6c03dcb6,63c30a4345465bfad806ff5b,BBQ Plate Sides,Add W/ Coleslaw,0,1
63c30a17522f79aa6c03dcb6,63c30a4345465bfad806ff5b,BBQ Plate Sides,Add W/ Potato Salad,0,1
650c3c46b6649cbc4709dbe2,650c3c65aabe8eb2c602582c,Bacon Egg And Cheese Options,Add Egg,1,1
63d41639f1041281b005ce6c,63d416391ef13cc006030d80,BLAT Options,Add Gluten Free Bread,1,1
65a2c044c695cf7f4309c372,65a2c0695ab04e482c05b3bb,Milk Options,Add Almond Milk,0,1
63d682db7b84f26842036a8f,63d682fc87c750af9d05f800,BLAT Options,No Tomato,0,1
63d682db7b84f26842036a8f,63d682fc87c750af9d05f800,BLAT Options,No Avocado,0,1
64945a9432d01b61690c585e,64945ab17abf8df69004d4ca,Ham Hot Honey Egg And Cheese Options,Add Smokehouse Bacon,2,1
64945a9432d01b61690c585e,64945ab17abf8df69004d4ca,Ham Hot Honey Egg And Cheese Options,"No Brioche, Substitute Bagel",1,1
644827f5c80a0c0c520a18ee,6448286c0ce26c971a0e6141,BBQ Plate Options,No Corn Bread,0,1
644827f5c80a0c0c520a18ee,6448286c0ce26c971a0e6141,BBQ Plate Options,No Sweet Pickles,0,1
644827f5c80a0c0c520a18ee,6448286c0ce26c971a0e6141,BBQ Plate Sides,Add W/ Coleslaw,0,1
644827f5c80a0c0c520a18ee,6448286c0ce26c971a0e6141,BBQ Plate Sides,Add W/ Baked BBQ Beans,0,1
64ac7dc294c6e1371409aaa2,64ac7dc31c30ff69f00da74a,Bowl Protein Option,Add Meat Sub Chicken,0,1
6417180ace247e315808c0a8,6417185bdad939b61e00245a,Chipotle Turkey Options,No Cheddar,0,1
64a2247d78f4c045a3018649,64a2249bf4d655fab8067b25,BBQ Plate Sides,Add W/ Cucumber Salad,0,1
64a2247d78f4c045a3018649,64a2249bf4d655fab8067b25,BBQ Plate Sides,Add W/ Mac N' Cheese,0,1
